entorno,nombre,etapa,tipo,area_responsable,descripcion,monto_contrato,comuna,barrio,direccion,lat,lng,fecha_inicio,fecha_fin_inicial,plazo_meses,porcentaje_avance,imagen_1,licitacion_oferta_empresa,licitacion_anio,contratacion_tipo,nro_contratacion,cuit_contratista,expediente-numero
Villa Olimpica,Villa Olimpica: Viviendas VII,Finalizada,Vivienda,Secretaria de Transporte y Obras Publicas,La licitacion No 7 contemplo la construccion de aproximadamente 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.,123691183.0,8,villa lugano,"fernandez de la cruz, f., gral. av. y escalada av.","-34,67374819","-58,45900361",2016-02-25,2017-10-31,20,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/12-1.jpg,CunumiS.A,2015,Licitacion Publica,449/2015,30615748036,7.482.410-MGEYA-DGPUYA-2015
Villa Olimpica,Villa Olimpica: Viviendas VIII,Finalizada,Vivienda,Secretaria de Transporte y Obras Publicas,La licitacion No 8 contemplo la construccion de 4 edificios que fueron destinados a los Juegos Olimpicos. Se construyeron aproximadamente 12.900m2 que fueron destinados a y 410m2 que fueron destinados a locales comerciales.,174609630.0,8,villa lugano,"fernandez de la cruz, f., gral. av. y escalada av.","-34,67374819","-58,45900361",2016-02-15,2017-11-15,21,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/13-1.jpg,ConstructoraSudamericanaS.A.,2015,Licitacion Publica,528/2015,30610895456,7.483.365-MGEYA-DGPUYA-2015
Villa Olimpica,Villa Olimpica: Viviendas X,Finalizada,Vivienda,Secretaria de Transporte y Obras Publicas,"La licitacion No 10 completo el grupo de licitaciones de viviendas para los Juegos Olimpicos que dieron respuesta habitacional, contemplando 2 edificios destinados a los Juegos Olimpicos. Ademas, se construyeron aproximadamente 7.000m2 que fueron destinados a vivienda y 130m2 que fueron destinados a locales comerciales.",98174265.0,8,villa lugano,"fernandez de la cruz, f., gral. av. y escalada av.","-34,67374819","-58,45900361",2016-04-28,2017-12-31,20,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/14-1.jpg,VidogarConstruccionesS.A,2015,Licitacion Publica,573/2015,30553433564,12.808.238-MGEYA-DGPUYA-2015
Villa Olimpica,Villa Olimpica: Viviendas I,Finalizada,Vivienda,Secretaria de Transporte y Obras Publicas,La licitacion No 1 contemplo la construccion de 3 edificios de uso mixto. Se destinaron aproximadamente 12.400m2 que fueron destinados a vivienda y 160m2 que fueron destinados a locales comerciales.,154853715.0,8,villa lugano,"fernandez de la cruz, f., gral. av. y escalada av.","-34,67374819","-58,45900361",2015-06-01,2017-12-20,30,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/16-1.jpg,CavconS.A.,2015,Licitacion Publica,1876/2014,33707292259,15282589-DGPUYA/2D14
Villa Olimpica,Villa Olimpica: Provision Y Colocacion De Equipamiento De Cocina En Edificios Villa Olimpica,Finalizada,Vivienda,Corporacion Buenos Aires Sur,"La Obra Consiste En La Provision Y Colocacion De Equipamiento En Las Cocinas, SUM, Espacios De Parrilla, Lavaderos Y Locales De Los 29 Edificios De Villa Olimpica",58565032.0,8,villa lugano,escalada av. 4200,"-34,675641","-58,454314",2018-08-07,2019-05-04,9,100,,CALELLOHERMANOSSA,2018,Licitacion Publica,04-CBAS-2018,30500716858,nan
Parque Olimpico,"Parque Olimpico: Demolicion total, extraccion y trasplante de arboles, cerco perimetral",Finalizada,Espacio Publico,Secretaria de Transporte y Obras Publicas,"Se procedio a la contruccion de un cerco olimpico perimetral que ayudo a delimitar el area de intervencion, resguardando la ejecucion de los trabajos y a su vez funcionando como cerco definitivo una vez terminada las obras. Ademas, incluyo tambien las tareas de demolicion de los edificios y equipamientos obsoletos existentes, la extraccion y trasplante de los arboles y arbustos dentro del mismo predio.",48590604.0,8,villa soldati,autopista presidente hector j. campora y 27 de febrero av.,"-34,67389687","-58,43605975",2016-12-28,2017-03-30,3,100,https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_parqueolimpico_demolicionytransplantedearboles_foto1.jpg,SalvatoriS.AParquesYJardines,2016,Licitacion Publica,880-SIGAF/16,30512700124,20515970-DGIURB-2016
Parque Olimpico,"Parque Olimpico: Instalacion de red de agua potable, incendio cloacal, pluvial y red de gas.",Finalizada,Hidraulica e Infraestructura,Secretaria de Transporte y Obras Publicas,"Se realizaron obras de infraestructura de las nuevas redes internas de agua potable, desagi 1/4es cloacales, desagi 1/4es pluviales y red de gas para los pabellones y equipamientos deportivos del Parque Olimpico.",42340809.0,8,villa soldati,autopista presidente hector j. campora y 27 de febrero av.,"-34,67389687","-58,43605975",2017-01-30,2018-04-16,15,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/iconos_infraestructura.jpg,TecmaS.A.,2016,Licitacion Publica,1032-SIGAF/16,30623866528,20.669.375-DGIURB-2016
Parque Olimpico,Parque Olimpico: Pabellones A1 Y A2.,Finalizada,Arquitectura,Secretaria de Transporte y Obras Publicas,Se realizaron obras de los pabellones para albergar los diferentes equipamientos deportivos.,194988604.0,8,villa soldati,autopista presidente hector j. campora y 27 de febrero av.,"-34,67389687","-58,43605975",2017-02-15,2017-12-31,10,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/19-1.jpg,ConstructoraSudamericanaS.A.,2016,Licitacion Publica,1192-SIGAF/16,30610895456,2016-24004377-MGEYA-DGIURB
Parque Olimpico,Parque Olimpico: Pabellones A3 Y A4.,Finalizada,Arquitectura,Secretaria de Transporte y Obras Publicas,Se realizaron obras de los pabellones que incluyeron la infraestructura deportiva para los Juegos Olimpicos.,168646366.0,8,villa soldati,autopista presidente hector j. campora y 27 de febrero av.,"-34,67389687","-58,43605975",2017-02-15,2018-01-12,11,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/20-1.jpg,CribaS.A.,2016,Licitacion Publica,1191-SIGAF/16,30505454436,EX-2016-24004750-MGEYA-DGIURB
Parque Olimpico,"Parque Olimpico: Espacio publico, equipamiento deportivo exterior",Finalizada,Espacio Publico,Secretaria de Transporte y Obras Publicas,"Se contemplo la reacondicion y modernizacion del espacio publico y equipamiento deportivo exterior. Las areas deportivas que se encuentran al aire libre incluyeron: 2 pistas de atletismo, canchas de hockey, beach handball, beach voley y basquet. Ademas, se puso en valor el portico de acceso al parque olimpico, la construccion de una cabina de control con su sector de servicios y la rehabilitacion de la torre tanque acondicionada e incluida al sistema de proteccion contra incendios.",349706395.0,8,villa soldati,autopista presidente hector j. campora y 27 de febrero av.,"-34,67389687","-58,43605975",2017-06-07,2018-10-30,16,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/21-1.jpg,ConorvialS.A,2017,Licitacion Publica,266/2017,33504596309,27359314-DGIURB-2016
Villa Olimpica,Villa Olimpica: Ejecucion Banos En Locales Comerciales En Edificios Villa Olimpica,Finalizada,Arquitectura,Corporacion Buenos Aires Sur,La Obra Consiste En La Ejecucion De Seis Nucleos Sanitarios En Sector De Locales Comerciales En Cinco De Los Edificios De Villa Olimpica ,1686743.0,8,villa lugano,escalada av. 4200,"-34,675641","-58,454314",2018-11-19,2019-01-19,2,100,,BosquimanoS.A,2018,Contratacion Directa,54-CBAS-2018,30711470022,nan
Villa Olimpica,Villa Olimpica: Readecuacion  Locales Planta Baja Edificios UG7 Villa Olimpica,Finalizada,Arquitectura,Corporacion Buenos Aires Sur,La Obra Consiste En La Readecuacion De Locales De Planta Baja En Edifio UG7 De Villa Olimpica ,3118410.0,8,villa lugano,escalada av. 4200,"-34,675641","-58,454314",2019-02-05,2019-04-06,1,100,,CMCONSTRUCCIONESSA,2019,Contratacion Directa,57-CBAS-2018,30714322660,nan
Villa Olimpica,Villa Olimpica: Provision Y Colocacion De Equipamiento De Cocina En Edificios UG7 P3 Y P4 Villa Olimpica,Finalizada,Vivienda,Corporacion Buenos Aires Sur,La Obra Consiste En La Provision y Colocacion de Equipamiento de Cocina En Los Edificios UG7 P3 y P4 - Villa Olimpica,6595600.0,8,villa lugano,escalada av. 4200,"-34,675641","-58,454314",2019-01-02,2019-02-11,0,100,,MIAVASASA,2019,Licitacion Privada,01-CBAS-2018,30677303863,nan
Parque Olimpico,Parque Olimpico: Pabellon B.,Finalizada,Arquitectura,Secretaria de Transporte y Obras Publicas,"La obra consistio en la construccion del Pabellon C que albergo a la competencia de gimnasia artistica y cuentu su vez con los servicios necesarios para su funcionamiento, como vestuarios, banos generales, oficinas y los espacios necesarios de logistica, enfermeria y doping.",283389377.0,8,villa soldati,autopista presidente hector j. campora y 27 de febrero av.,"-34,67389687","-58,43605975",2017-08-05,2018-06-30,10,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/27-1.jpg,CribaS.A.,2017,Licitacion Publica,35/17,30505454436,24.005.383-DGIURB-2016
Parque Olimpico,Parque Olimpico: Infraestructura electrica.,Finalizada,Hidraulica e Infraestructura,Secretaria de Transporte y Obras Publicas,"La licitacion contemplo el reacondicionamiento y modernizacion de las instalaciones existentes en el Parque Olimpico y la ejecucion de la nueva red para la distribucion de energia de los pabellones y edificios administrativos. La obra incluyo una sub estacion de entrada de energia, grupo electrogeno de emergencia, transformadores elevadores de tension e instalaciones de alimentacion en los edificios.",54936733.0,8,villa soldati,autopista presidente hector j. campora y 27 de febrero av.,"-34,67389687","-58,43605975",2017-02-13,2018-05-30,15,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/imagenesobservatorio/parqueolimpicoinfraestructuraelectrica.JPG,UrbanBairesS.A.,2016,Licitacion Publica,1035-SIGAF/16,30711290075,EX-2016- 20669799-DGIURB
Villa Olimpica,"Villa Olimpica: Movimiento De Suelo Y Tareas De Mantenimiento De Espacios Verdes, Manzanas 123A - 123B - 123E - 123I- 123M",Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,La Obra Consiste En La Nivelacion De Los Terrenos Que Se Encuentran Conformados Por El Espacio Urbano De La Villa Olimpica,13671988.0,8,villa lugano,escalada av. 4200,"-34,672645","-58,454314",2018-08-06,2018-11-04,3,100,,MIAVASASA,2018,Contratacion Directa,45-CBAS-2018,30677303863,nan
Villa Olimpica,Villa Olimpica: Pintura Interior Departamentos Edificio UG1:P1-P4-P6-P9; UG2:P1-P3-P5-P7; UG3:P1-P2-P3-P5-P8; UG4:P1-P2-P3-P6-P7-P8; UG5:P1-P2-P3-P4-P5-P6-P7-P8-P9-P10; UG7: P3-P4,Finalizada,Arquitectura,Corporacion Buenos Aires Sur,"La obra consiste en la pintura de paredes, puertas interiores y puertas de chapa de todas las unidades funcionales de Los Edificio UG1-UG2-UG3-UG4 UG5 Y UG7 de la Villa Olimpica.",150333723.0,8,villa lugano,escalada av. 4200,"-34,675641","-58,454314",2018-11-30,2019-05-29,6,100,,CMCONSTRUCCIONESSA,2018,Contratacion Directa,41-CBAS-2018,30714322660,nan
Paseo Del Bajo,Paseo Del Bajo: Tramo A - Viaductos,Finalizada,Transporte,Secretaria de Transporte y Obras Publicas,"La realizacion de esta obra significo una organizacion vial que mejoro sustancialmente la circulacion de mas de 25.000 vehiculos, entre ellos casi 10.000 camiones, acortando tiempos de viaje, reduciendo la contaminacion visual sonora y del aire y aumentando la seguridad vehicular y de peatones. Esta obra tiene mas de 6 kilometros de extension que conecta el sur con el norte de la Ciudad. Se encuentra ubicada entre las calles Alicia Moreau de Justo y Madero-Huergo, y luego en la zona de Retiro circulando por Av. Ramos Mejia, Antartida Argentina y Castillo. Al costado de la trinchera para vehiculos pesados<sobre las avenidas Alicia Moreau de Justo y Madero-Huergo, se ubican los carriles para transito liviano. Hay cuatro carriles con sentido norte y cuatro al sur (dos con velocidad maxima de 60 y dos de 40 kilometros por hora), separados por un boulevard de uso exclusivo para autos y colectivos de corta distancia. El iC/AAPaseo del Bajo"" contemplo ademas la creacion de nuevos espacios verdes que aportaron en metros cuadrados lo equivalente a casi dos iC/AAiA'Parque LezamaiC/AA y que estan ubicados a los costados de los carriles para vehiculos livianos y sobre la trinchera para camiones por un total de mas de 60.000 metros cuadrados. Ademas, se crearon nuevas ciclovias para facilitar el acceso y fomentar la recreacion y la movilidad sustentable en la zona.",1547000000.0,1,puerto madero,"huergo, ing. av. y garay, juan de av.","-34,6239195","-58,36551222",2017-01-02,2019-08-30,31,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/32-1.jpg,CORSANCORVIAMCONSTRUCCIONSA,2016,Licitacion Publica,2016-01-0007-00,30710216386,nan
Paseo Del Bajo,Paseo Del Bajo: Tramo B - Trinchera Semicubierta Sur,Finalizada,Transporte,Secretaria de Transporte y Obras Publicas,"El tramo B del proyecto contemplo el recorrido desde el viaducto sur que conecta con las autopistas 25 de Mayo y Buenos Aires-La Plata hasta el comienzo del tramo C en cercanias al parque central. Se desarrollo en trinchera semi cubierta, con tramos peatonales y calles vehiculares pasantes.",1640500000.0,1,puerto madero,"huergo, ing. av. y garay, juan de av.","-34,6239195","-58,36551222",2017-01-02,2019-04-30,27,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/33-1.jpg,GreenSeosaPbtUte,2016,Licitacion Publica,2016-01-0008-00,30715467999,nan
Paseo Del Bajo,Paseo Del Bajo: Tramo C - Trinchera Semicubierta Norte,Finalizada,Transporte,Secretaria de Transporte y Obras Publicas,"El tramo C se desarrollo desde el final del tramo B en cercanias del parque central hasta el comienzo del viaducto norte en el area de retiro. El primer tramo, al igual que el tramo B, se llevo a cabo en trinchera semi cubierta con tramos peatonales y calles vehiculares pasantes. La segunda parte, a la altura de la Plaza Canada en Retiro, se llevo a cabo a nivel.",3183200000.0,1,puerto madero,"huergo, ing. av. y garay, juan de av.","-34,6239195","-58,36551222",2017-02-01,2019-04-25,26,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/34-1.jpg,Iecsa-FontanaNicastroUte,2016,Licitacion Publica,2016-01-0009-00,30715471457,nan
Cuenca Radio Antiguo y Ugarteche,Ramal Austria I,Finalizada,Hidraulica e Infraestructura,Secretaria de Transporte y Obras Publicas,"La obra consistio en un conducto de cuatro metros de diametro realizado mediante la metodologia de tunel de excavacion manual con revestimiento metalico tipo linner, que en su primera etapa de ejecucion se complemento con ocho camaras de ataque de 4 metros de diametro ejecutadas con la misma tecnologia.",75368613.0,2,recoleta,"del libertador av. y figueroa alcorta, pres. av.","-34,58658516","-58,3858523",2015-05-26,2018-01-30,32,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio116.jpg,TecmaS.A.,2015,nan,nan,30623866528,nan
Cuenca Arroyo Cildanez,Ramal Caaguazu -Ampliacion Red Pluvial VII,Finalizada,Hidraulica e Infraestructura,Secretaria de Transporte y Obras Publicas,"Los trabajos de la obra hidraulica del ramal Caaguazu consistieron en la ampliacion de la capacidad de los ramales para aliviar la red existente y evitar los anegamientos sobre Av. Rivadavia y calle Yerbal. Consto de dos conductos: El primero se inicio en la esquina de la calle Yerbal y recorre las calles Yerbal y Urdaneta hasta Av. Rivadavia. La segunda comenzo en la esquina de Caaguazu desde Oliden, pasando por calle Ramon L. Falcon.",69200043.0,9,liniers,"oliden y falcon, ramon l.,cnel.","-34,64044393","-58,51707948",2016-07-28,2018-04-30,21,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/37-1.jpg,SESS.A.-CONSTRUEREINGENIERIAS.A.-REDVII-UNIONTRANSITORIADEEMPRESAS,2016,nan,nan,30715243489,nan
Cuenca Larrazabal y Escalada,Ramal Escalada -Ampliacion Red Pluvial VI,Finalizada,Hidraulica e Infraestructura,Secretaria de Transporte y Obras Publicas,"Se realizo una obra de mejoramiento y readecuacion de la Red Pluvial VI, para el mejor escurrimiento de las precipitaciones en la comuna 8.",52685356.0,8,villa riachuelo,"fernandez de la cruz, f., gral. av. y suarez, jose leon","-34,68962583","-58,47762248",2016-08-22,2017-12-10,16,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/masobras/ramalescalada.jpg,AltoteS.A.-NakuConstruccionesS.R.L.-(Ute),2015,nan,nan,30712263454,nan
Cuenca Arroyo Vega,Red Pluvial IV: Ampliacion,Finalizada,Hidraulica e Infraestructura,Secretaria de Transporte y Obras Publicas,"La obra consistio en la ejecucion de conductos circulares con respectivas camaras, sumideros, nexos y demas componentes secundarios, a fin de resolver en distintas ubicaciones los problemas de anegamientos producidos por la falta de red de captacion pluvial, complementarios al plan director de ordenamiento hidraulico.",24536126.0,12,coghlan,"quesada y perez, roque","-34,56034048","-58,47457524",2014-06-16,2016-10-31,28,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/arroyovega-foto1-web.jpg,AltoteS.A.-NakuConstruccionesS.R.L.-(Ute),2013,Licitacion Publica,2529/2013,30712263454,2769136/2013
Centro De Exposiciones Y Convenciones,Centro de Exposiciones y Convenciones,Finalizada,Arquitectura,Secretaria de Transporte y Obras Publicas,"El equipamiento metropolitano del Centro de Exposiciones y Convenciones se proyecto a partir de la idea de soterrar el edificio para liberar superficie e integrar la cubierta verde al Parque Thays y la Plaza de las Naciones Unidas, formando un gran parque publico. Se ubica en el predio de Av. Figueroa Alcorta al lado de la Facultad de Derecho constituyendo un enclave estrategico de la ciudad de Buenos Aires dada su localizacion y su potencialidad simbolica y espacial. El edificio tiene capacidad para 5.000 asistentes y esta conformado por una sala plenaria y otras salas auxiliares divisibles. Tambien cuenta con oficinas, espacios para reuniones, un restaurante, un estacionamiento para 900 vehiculos y un foyer de 1.600 miA2. A su vez, tiene acceso a la estacion Facultad de Derecho de la linea H.",313660000.0,2,recoleta,"couture, eduardo j. y vaz ferreira, carlos, dr.","-34,58343908","-58,38831874",2014-12-20,2017-04-30,28,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio140.jpg,C.R.I.B.A.SA-MEJORESHOSPITALESSA-UNIONTRANSITORIADEEMPRESAS,2013,Licitacion Publica,2.594/2013,30714365440,4.150.195/2013
Edificio Lezama,Edificio Lezama: Obra Civil,Finalizada,Arquitectura,Secretaria de Transporte y Obras Publicas,"La obra del Palacio Lezama se integro dentro del plan de descentralizacion administrativa del gobierno porteno al sur de la Ciudad. El edificio es patrimonio historico de la Ciudad y un hito de la memoria urbana del Barrio de Barracas que se encuentra ubicado sobre la Av. Martin Garcia, entre la calle Irala y Av. Regimiento de los Patricios. Posee una superficie aproximada de 30.000 M2 distribuidos en planta baja y 6 pisos, con acceso de vehiculos por calle Pilcomayo. Fue remodelado y restaurado integramente, restaurando la fachada original para satisfacer los requerimientos tecnologicos, funcionales y de seguridad de las dependencias que trabajaban alli. El edificio tiene capacidad para 3.100 puestos de trabajo correspondientes al Ministerio de Modernizacion, Ministerio de Desarrollo Urbano y Transporte, Ministerio de Ambiente y Espacio Publico y Sindicatura General.",52831053.0,4,la boca,"garcia, martin av. 346","-34,62890773","-58,36993913",2015-03-13,2016-12-30,21,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio141.jpg,SESSA,2014,Licitacion Publica,1816/SIGAF/2014,30647727545,nan
Cuenca Arroyo Vega,Arroyo Vega - Mejora de la Eficiencia Hidraulica,Finalizada,Hidraulica e Infraestructura,Secretaria de Transporte y Obras Publicas,"Se llevo adelante la obra que implico entabicar las columnas y las vigas para la mejora de la eficiencia hidraulica del conducto, asegurando el desplazamiento del fluido de la manera mas eficaz posible. La obra se ejecuto entre las calles 11 de Septiembre y Balbin, bajo la calle Blanco Encalada.",20356959.0,13,belgrano,av. rafael obligado 6125,"-34,551158","-58,428715",2014-12-22,2016-09-30,21,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/arroyovega-foto2-web.jpg,TecmaS.A.,2014,Licitacion Publica,1459/2014,30623866528,5.428.222/2014
Conector Ambiental Iriarte,Conector Ambiental Iriarte,Finalizada,Espacio Publico,Secretaria de Transporte y Obras Publicas,Tipologia de calle con importante presencia de vegetacion. Forma parte de una red que permite conectar el conjunto de espacios verdes de la Ciudad.,10984180.0,4,parque patricios,"velez sarsfield av. y alcorta, amancio av.","-34,64019899","-58,38988716",2015-02-03,2017-07-28,29,100,https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_conectoririarte_foto1.jpg,AltoteS.A,2014,Licitacion Publica,1526/2014,30707431896,nan
